,date,open,high,low,close,volume
0,2019-02-19 08:00:00,42.05,42.35,41.94,42.35,319608.0
1,2019-02-19 12:00:00,42.345,42.48,42.18,42.185,793330.0
2,2019-02-19 16:00:00,42.19,42.19,42.19,42.19,3520.0
3,2019-02-20 08:00:00,42.25,42.76,42.19,42.7,644746.0
4,2019-02-20 12:00:00,42.705,43.11,42.64,42.82,1800072.0
5,2019-02-20 16:00:00,42.82,42.82,42.82,42.82,319417.0
6,2019-02-21 08:00:00,42.83,43.1,42.55,42.935,680361.0
7,2019-02-21 12:00:00,42.935,43.19,42.82,43.1,1266572.0
8,2019-02-21 16:00:00,43.09,43.09,43.09,43.09,287330.0
9,2019-02-22 08:00:00,43.2,43.39,43.0,43.38,396161.0
10,2019-02-22 12:00:00,43.38,43.46,43.27,43.45,652072.0
11,2019-02-22 16:00:00,43.45,43.45,43.45,43.45,22656.0
12,2019-02-25 08:00:00,43.69,44.23,43.48,43.95,456881.0
13,2019-02-25 12:00:00,43.95,43.96,43.68,43.79,725131.0
14,2019-02-25 16:00:00,43.79,43.79,43.79,43.79,17148.0
15,2019-02-26 08:00:00,43.84,44.31,43.62,44.09,566258.0
16,2019-02-26 12:00:00,44.09,44.21,43.725,43.75,722209.0
17,2019-02-26 16:00:00,43.74,43.74,43.74,43.74,61221.0
18,2019-02-27 08:00:00,43.76,43.94,43.59,43.89,312092.0
19,2019-02-27 12:00:00,43.88,44.32,43.86,44.13,674853.0
20,2019-02-27 16:00:00,44.13,44.13,44.13,44.13,84407.0
21,2019-02-28 08:00:00,44.09,44.11,43.23,43.255,386764.0
22,2019-02-28 12:00:00,43.25,43.72,43.24,43.62,734984.0
23,2019-02-28 16:00:00,43.62,43.62,43.62,43.62,392462.0
24,2019-03-01 08:00:00,43.75,44.12,43.405,43.43,478949.0
25,2019-03-01 12:00:00,43.43,44.105,43.43,44.05,1064323.0
26,2019-03-01 16:00:00,44.02,44.02,44.02,44.02,313164.0
27,2019-03-04 08:00:00,44.33,44.44,43.75,43.78,415961.0
28,2019-03-04 12:00:00,43.77,44.29,43.68,44.29,706090.0
29,2019-03-04 16:00:00,44.27,44.27,44.27,44.27,11050.0
30,2019-03-05 08:00:00,44.22,44.71,43.92,44.62,331248.0
31,2019-03-05 12:00:00,44.61,45.0,44.57,44.91,1045942.0
