,date,open,high,low,close,volume
0,2019-02-19 00:00:00,86.32,87.02,86.03,86.73,1814887.0
1,2019-02-20 00:00:00,86.56,86.72,86.03,86.37,1620771.0
2,2019-02-21 00:00:00,86.29,86.46,85.56,85.8,2127035.0
3,2019-02-22 00:00:00,86.24,86.98,86.21,86.5,1737791.0
4,2019-02-25 00:00:00,87.0,87.6829,86.53,86.97,2624108.0
5,2019-02-26 00:00:00,86.98,87.62,86.94,87.33,1429328.0
6,2019-02-27 00:00:00,87.17,87.84,86.72,87.73,1426670.0
7,2019-02-28 00:00:00,87.76,87.95,87.17,87.36,1385068.0
8,2019-03-01 00:00:00,88.28,88.83,86.64,87.28,1441946.0
9,2019-03-04 00:00:00,87.43,87.57,85.62,85.85,1249163.0
10,2019-03-05 00:00:00,86.13,86.55,85.47,85.51,1187619.0
11,2019-03-06 00:00:00,85.75,86.24,85.03,85.4,893045.0
12,2019-03-07 00:00:00,84.92,85.04,84.26,85.0,1982123.0
13,2019-03-08 00:00:00,84.47,84.9468,82.77,84.21,1734478.0
14,2019-03-11 00:00:00,84.37,85.34,84.31,85.12,1879852.0
15,2019-03-12 00:00:00,85.4,85.67,84.48,84.78,1418566.0
16,2019-03-13 00:00:00,84.98,85.78,84.51,85.05,1944755.0
17,2019-03-14 00:00:00,85.12,85.26,84.35,84.94,1201657.0
18,2019-03-15 00:00:00,84.93,85.36,83.93,84.78,4416209.0
19,2019-03-18 00:00:00,85.05,86.095,84.63,86.06,2139200.0
20,2019-03-19 00:00:00,86.3,87.03,85.85,86.51,2120510.0
21,2019-03-20 00:00:00,86.35,86.5,84.6,84.92,1875040.0
22,2019-03-21 00:00:00,84.97,86.08,84.74,85.84,1127095.0
23,2019-03-22 00:00:00,85.17,85.43,83.71,83.72,1464290.0
24,2019-03-25 00:00:00,83.77,84.66,83.32,84.51,1370597.0
25,2019-03-26 00:00:00,85.29,85.63,84.545,85.01,1069031.0
26,2019-03-27 00:00:00,85.36,85.83,84.5926,85.32,1186585.0
27,2019-03-28 00:00:00,87.37,88.46,86.79,87.16,1605653.0
28,2019-03-29 00:00:00,87.28,87.7,86.48,86.91,1503964.0
29,2019-04-01 00:00:00,87.63,87.675,86.75,87.33,1684177.0
30,2019-04-02 00:00:00,86.89,87.48,86.3,86.79,1714726.0
31,2019-04-03 00:00:00,87.3,87.5,86.86,87.45,1478346.0
32,2019-04-04 00:00:00,87.71,89.59,87.47,89.55,1379396.0
33,2019-04-05 00:00:00,89.63,89.95,88.87,89.17,1897829.0
34,2019-04-08 00:00:00,89.52,90.29,88.87,89.83,2050016.0
35,2019-04-09 00:00:00,89.37,89.87,88.47,88.69,1625511.0
36,2019-04-10 00:00:00,88.77,89.45,88.66,89.35,1389451.0
37,2019-04-11 00:00:00,89.64,89.925,88.89,89.3,1093950.0
38,2019-04-12 00:00:00,89.45,90.77,89.305,90.71,1721826.0
39,2019-04-15 00:00:00,90.87,91.39,90.71,91.2,1433226.0
40,2019-04-16 00:00:00,91.2,93.6,91.03,93.32,5352334.0
41,2019-04-17 00:00:00,93.41,95.69,93.41,95.5,5281696.0
42,2019-04-18 00:00:00,95.31,96.2,94.56,95.55,2354422.0
43,2019-04-22 00:00:00,95.06,95.92,94.48,94.85,1709335.0
44,2019-04-23 00:00:00,94.85,95.0409,93.78,94.59,1913525.0
45,2019-04-24 00:00:00,94.72,95.28,94.01,94.73,1510321.0
46,2019-04-25 00:00:00,94.75,94.91,93.47,94.01,1550723.0
47,2019-04-26 00:00:00,94.42,94.58,93.02,94.52,1212615.0
48,2019-04-29 00:00:00,94.25,94.89,93.86,94.49,1571296.0
49,2019-04-30 00:00:00,94.09,94.53,93.61,94.41,1797627.0
50,2019-05-01 00:00:00,94.38,94.5024,92.98,93.01,1090626.0
51,2019-05-02 00:00:00,93.48,94.25,92.98,93.89,2036763.0
52,2019-05-03 00:00:00,94.5,95.42,94.28,95.37,1650419.0
53,2019-05-06 00:00:00,93.99,94.14,93.2183,93.86,1934671.0
54,2019-05-07 00:00:00,93.12,94.12,92.92,93.64,1621809.0
55,2019-05-08 00:00:00,93.69,94.4,93.1,93.72,1400285.0
56,2019-05-09 00:00:00,93.47,94.27,92.43,94.04,1383575.0
57,2019-05-10 00:00:00,93.68,93.81,91.09,92.91,1863256.0
58,2019-05-13 00:00:00,91.25,91.72,89.87,90.12,2147080.0
59,2019-05-14 00:00:00,90.38,90.84,89.13,90.35,2115726.0
60,2019-05-15 00:00:00,89.64,91.15,89.28,90.7,1328510.0
61,2019-05-16 00:00:00,91.0,92.17,90.84,91.3,1469490.0
62,2019-05-17 00:00:00,90.93,91.69,90.56,90.8,1627888.0
63,2019-05-20 00:00:00,90.14,91.08,89.69,90.61,1902695.0
64,2019-05-21 00:00:00,90.95,92.71,90.28,92.1,2623230.0
65,2019-05-22 00:00:00,85.71,90.57,85.46,90.33,4813083.0
66,2019-05-23 00:00:00,85.01,85.86,83.52,84.09,3234081.0
67,2019-05-24 00:00:00,84.94,85.19,83.29,84.04,2645285.0
68,2019-05-28 00:00:00,84.5,84.53,82.68,82.75,2725913.0
69,2019-05-29 00:00:00,82.0,82.91,81.16,82.23,2486970.0
70,2019-05-30 00:00:00,81.91,82.825,81.05,82.73,2114234.0
71,2019-05-31 00:00:00,81.59,82.235,80.76,81.88,2605525.0
72,2019-06-03 00:00:00,81.85,83.75,81.55,82.96,1813933.0
73,2019-06-04 00:00:00,83.58,85.18,83.42,85.1,1859196.0
74,2019-06-05 00:00:00,85.64,86.195,84.58,85.74,1223638.0
75,2019-06-06 00:00:00,85.56,85.615,83.96,84.46,2116069.0
76,2019-06-07 00:00:00,84.53,84.92,84.03,84.71,1297553.0
77,2019-06-10 00:00:00,85.28,86.49,85.24,85.69,1280024.0
78,2019-06-11 00:00:00,86.09,86.73,85.345,85.48,918565.0
79,2019-06-12 00:00:00,85.66,86.06,84.66,84.77,1192157.0
80,2019-06-13 00:00:00,85.48,86.98,85.48,86.83,1418287.0
81,2019-06-14 00:00:00,86.89,87.52,86.33,87.26,1221058.0
82,2019-06-17 00:00:00,87.17,87.945,87.08,87.18,1318698.0
