,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,24.59,24.59,24.4,24.45,511.0,24.495,1550566800000,4,
1,24.59,24.59,23.86,24.05,3220736.0,24.0089,1550581200000,16260,
2,24.04,24.205,23.975,24.02,3112388.0,24.0996,1550595600000,18043,
3,24.01,24.01,23.87,23.87,30723.0,24.008,1550610000000,26,
4,23.8901,24.16,23.73,24.06,1904164.0,23.9919,1550667600000,10890,
5,24.065,24.4,23.99,24.04,4056282.0,24.1959,1550682000000,22436,
6,24.03,24.15,24.03,24.15,374165.0,24.03,1550696400000,35,
7,24.03,24.31,23.94,24.11,2358919.0,24.0808,1550754000000,16226,
8,24.1099,24.12,23.86,24.08,3077469.0,24.0023,1550768400000,18578,
9,24.07,24.1,23.66,23.7,154202.0,24.0079,1550782800000,77,
10,23.49,23.62,23.36,23.36,28628.0,23.4759,1550826000000,33,
11,23.4,23.76,22.92,23.14,5627452.0,23.1992,1550840400000,28930,
12,23.1454,23.41,23.13,23.38,4943079.0,23.2943,1550854800000,25263,
13,23.38,23.38,23.199,23.38,226261.0,23.3497,1550869200000,37,
14,23.4999,23.59,23.23,23.4553,2344557.0,23.4822,1551099600000,13572,
15,23.455,23.5,23.17,23.32,4564960.0,23.3207,1551114000000,26263,
16,23.31,23.31,23.31,23.31,220452.0,23.31,1551128400000,35,
17,23.48,23.7,23.14,23.605,2245558.0,23.5654,1551186000000,13402,
18,23.6,23.77,23.32,23.36,3657049.0,23.5841,1551200400000,20786,
19,23.36,23.36,23.36,23.36,77350.0,23.36,1551214800000,19,
20,23.3601,23.47,22.925,22.9416,2670660.0,23.1628,1551272400000,13323,
21,22.94,23.12,22.9,23.08,3840004.0,23.0144,1551286800000,19687,
22,23.09,23.09,23.09,23.09,167013.0,23.09,1551301200000,14,
23,23.2,23.26,22.95,23.2253,1530478.0,23.1401,1551358800000,9570,
24,23.225,23.44,23.2,23.37,2867277.0,23.3669,1551373200000,19013,
25,23.37,23.37,23.37,23.37,152852.0,23.3699,1551387600000,47,
26,23.42,23.4775,22.98,23.0,1584026.0,23.1818,1551445200000,10630,
27,23.005,23.29,22.92,23.26,3071848.0,23.1283,1551459600000,18433,
