,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,34.83,35.3201,34.63,35.01,1893287.0,35.0381,1550552400000,13832,
1,34.98,35.5,34.86,35.18,2615754.0,35.1988,1550638800000,16788,
2,35.16,35.56,34.92,35.44,2282660.0,35.3397,1550725200000,17433,
3,33.77,34.03,32.26,32.83,7744760.0,32.6561,1550811600000,44286,
4,32.96,33.085,32.17,32.26,4093187.0,32.4417,1551070800000,26817,
5,32.85,33.35,32.67,32.91,6314797.0,32.943,1551157200000,38731,
6,34.05,36.495,33.1617,36.21,11371536.0,35.3852,1551243600000,59387,
7,36.21,36.43,35.23,36.02,5972132.0,35.8194,1551330000000,35268,
8,36.0,36.5,35.58,36.35,4167733.0,36.214,1551416400000,30596,
9,36.38,36.5,35.38,36.0,2851329.0,35.8073,1551675600000,21127,
10,36.0,36.2,35.73,36.1,2331235.0,36.0398,1551762000000,17117,
11,36.1,36.24,35.85,36.14,1875456.0,36.0755,1551848400000,13938,
12,36.16,36.29,35.73,35.92,1711722.0,35.9765,1551934800000,12802,
13,35.98,36.05,35.6,36.02,1754216.0,35.9009,1552021200000,13917,
14,35.93,36.09,35.545,35.9,2141898.0,35.7933,1552276800000,17099,
15,35.92,35.94,35.03,35.05,2387317.0,35.309,1552363200000,17530,
16,35.1,35.57,35.035,35.27,1879179.0,35.3001,1552449600000,13419,
17,35.37,35.8,35.28,35.64,1940081.0,35.6453,1552536000000,13465,
18,35.64,36.16,35.59,36.01,3569814.0,35.959,1552622400000,12093,
19,36.06,36.67,36.04,36.56,2055993.0,36.4865,1552881600000,13932,
20,36.52,36.73,36.15,36.3,1587692.0,36.386,1552968000000,12775,
21,36.39,36.71,36.28,36.32,2047039.0,36.4292,1553054400000,12693,
22,36.52,37.93,36.1925,37.86,2709517.0,37.6104,1553140800000,20120,
23,37.74,38.37,37.71,38.24,2798032.0,38.1097,1553227200000,22347,
24,38.2,38.34,37.87,38.28,2059591.0,38.2059,1553486400000,16912,
25,38.39,38.84,38.22,38.52,1791225.0,38.5808,1553572800000,14171,
26,38.37,38.55,37.745,37.95,1863486.0,37.9838,1553659200000,15783,
27,38.02,38.525,37.93,38.3,1194484.0,38.2659,1553745600000,10775,
28,38.33,38.45,37.77,38.13,1932628.0,38.0389,1553832000000,13328,
29,38.04,38.09,37.52,37.85,2194408.0,37.813,1554091200000,14769,
30,37.91,38.08,37.49,37.62,1158076.0,37.7117,1554177600000,10201,
31,37.62,37.67,37.18,37.25,1705411.0,37.3168,1554264000000,12002,
32,37.36,37.55,37.27,37.45,1174603.0,37.4336,1554350400000,7813,
33,37.52,38.29,37.52,38.26,1884175.0,38.0099,1554436800000,15392,
34,38.19,38.79,38.12,38.53,2523050.0,38.4784,1554696000000,18404,
35,38.46,39.81,38.46,39.49,5173457.0,39.3826,1554782400000,31388,
