,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,47.46,47.88,47.13,47.23,1668359.0,47.5605,1550552400000,12084,
1,47.33,48.585,47.29,47.75,2312030.0,47.8953,1550638800000,18812,
2,44.12,47.19,44.08,46.36,3003396.0,46.2337,1550725200000,26723,
3,46.56,46.965,46.13,46.56,1380343.0,46.4838,1550811600000,13336,
4,46.93,47.06,46.31,46.35,898910.0,46.5939,1551070800000,9184,
5,46.06,46.33,45.63,45.66,1165816.0,45.9254,1551157200000,13004,
6,45.52,45.85,45.06,45.47,1451873.0,45.4988,1551243600000,13431,
7,45.37,45.67,44.36,44.41,1536391.0,44.6024,1551330000000,13605,
8,44.79,45.15,44.32,45.0,1017731.0,44.842,1551416400000,10153,
9,45.0,45.45,43.8,44.25,1640319.0,44.3267,1551675600000,13198,
10,44.23,44.35,43.6,43.78,1272377.0,43.928,1551762000000,12279,
11,43.71,43.95,43.07,43.08,1079630.0,43.3098,1551848400000,9165,
12,43.07,43.37,42.32,43.08,1321241.0,43.0367,1551934800000,10315,
13,42.33,43.04,42.16,42.95,1988728.0,42.7898,1552021200000,12021,
14,42.98,44.1,42.85,44.02,1579968.0,43.7993,1552276800000,13381,
15,44.14,44.78,44.14,44.54,1298904.0,44.5648,1552363200000,11699,
16,44.87,45.025,44.49,44.76,836519.0,44.8137,1552449600000,8283,
17,44.64,44.85,44.39,44.48,652907.0,44.5448,1552536000000,7151,
18,44.44,44.695,44.22,44.28,1081738.0,44.3867,1552622400000,6882,
19,44.32,45.25,44.32,45.19,942499.0,44.9345,1552881600000,8996,
20,45.61,45.91,44.98,45.16,661065.0,45.3553,1552968000000,6229,
21,45.13,45.45,44.56,45.14,625062.0,45.0637,1553054400000,6307,
22,44.95,45.94,44.81,45.8,632376.0,45.7262,1553140800000,6078,
23,45.55,45.85,43.42,43.51,881957.0,43.8528,1553227200000,8481,
24,43.34,43.96,43.18,43.59,611948.0,43.5438,1553486400000,6819,
25,44.21,44.6,43.88,44.18,641271.0,44.158,1553572800000,4053,
26,44.27,44.56,43.91,44.27,1194471.0,44.3084,1553659200000,8669,
27,44.13,44.93,44.055,44.74,660048.0,44.5832,1553745600000,6253,
28,45.18,45.62,45.0,45.14,766978.0,45.1846,1553832000000,7935,
29,45.7,46.55,45.7,46.46,1005551.0,46.3093,1554091200000,9318,
30,46.52,47.14,46.27,46.69,1647101.0,46.7183,1554177600000,13469,
31,46.86,47.29,46.7501,46.92,1062671.0,46.9885,1554264000000,10076,
32,47.0,47.66,46.9,47.63,594031.0,47.3657,1554350400000,6221,
33,47.9,48.14,47.72,47.96,719899.0,47.9711,1554436800000,6086,
34,47.87,48.24,47.56,48.2,538365.0,48.0714,1554696000000,6129,
35,47.71,47.88,47.2,47.66,1013237.0,47.667,1554782400000,9597,
36,47.7,47.83,47.35,47.81,602158.0,47.6858,1554868800000,6593,
37,47.84,48.61,47.72,48.49,535277.0,48.3217,1554955200000,6548,
