,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,298.87,304.195,298.87,304.195,110550.0,301.8576,1550584800000,1654,
1,304.2,304.5,302.51,303.54,114241.0,303.4688,1550588400000,2016,
2,303.56,304.5,302.23,304.45,100772.0,303.4894,1550592000000,1652,
3,304.28,304.52,302.82,303.15,76890.0,303.7259,1550595600000,1531,
4,303.2794,304.35,302.74,302.74,61081.0,303.6067,1550599200000,1255,
5,302.73,304.38,302.73,303.52,63408.0,303.4155,1550602800000,1506,
6,303.44,303.78,301.82,302.26,192743.0,302.8485,1550606400000,3381,
7,302.26,302.26,302.26,302.26,5030.0,302.26,1550610000000,18,
8,302.89,302.89,302.89,302.89,295.0,302.8832,1550667600000,7,
9,303.17,303.55,299.5,300.38,66297.0,301.3339,1550671200000,1039,
10,300.12,300.58,298.01,299.95,105475.0,299.5477,1550674800000,1812,
11,299.95,300.85,299.23,300.84,83932.0,300.1191,1550678400000,1342,
12,300.84,301.11,298.53,299.17,68854.0,299.7036,1550682000000,1481,
13,299.02,301.58,298.945,301.495,83598.0,300.2884,1550685600000,1531,
14,301.32,302.65,299.65,301.2874,107822.0,300.9241,1550689200000,1890,
15,301.39,302.33,301.205,302.24,136127.0,301.8754,1550692800000,2920,
16,302.24,302.24,302.24,302.24,114261.0,302.24,1550696400000,25,
17,301.68,302.99,297.55,300.0,61975.0,300.1243,1550757600000,987,
18,299.72,299.7835,295.61,296.18,117662.0,296.7739,1550761200000,2108,
19,296.28,297.61,295.68,297.25,86088.0,296.5033,1550764800000,1500,
20,297.41,298.06,297.3201,297.75,50221.0,297.701,1550768400000,1090,
21,297.74,297.85,297.06,297.4645,46693.0,297.4185,1550772000000,1022,
22,297.42,297.84,295.615,296.02,61730.0,296.4587,1550775600000,1564,
23,295.9,297.08,295.55,296.755,135080.0,296.268,1550779200000,2842,
24,296.88,296.88,296.0,296.0,6769.0,296.7934,1550782800000,29,
25,300.0,301.365,297.56,301.365,55139.0,299.4713,1550844000000,917,
26,301.35,301.995,298.525,301.47,87186.0,300.5413,1550847600000,1868,
27,301.38,301.81,300.53,301.03,73303.0,301.2139,1550851200000,1510,
28,300.98,301.47,300.62,300.95,36996.0,301.0393,1550854800000,881,
29,301.0,301.06,300.6,300.8866,32876.0,300.9417,1550858400000,726,
30,300.79,301.1,299.3679,299.65,40548.0,300.301,1550862000000,944,
31,299.542,301.21,299.542,301.04,105911.0,300.6686,1550865600000,2622,
32,301.06,301.06,296.1458,301.06,28335.0,301.0391,1550869200000,31,
33,303.86,303.86,303.86,303.86,196.0,303.7082,1551099600000,4,
34,302.68,304.0,301.92,302.31,61119.0,302.9519,1551103200000,1078,
35,302.725,304.52,302.19,304.51,92273.0,303.135,1551106800000,2215,
36,304.53,306.31,304.421,305.425,98188.0,305.6211,1551110400000,2008,
37,305.405,305.73,303.0,303.92,46110.0,304.2161,1551114000000,1196,
38,303.91,305.0623,303.69,304.41,46038.0,304.6059,1551117600000,1146,
39,304.455,305.35,304.18,304.86,35495.0,304.7977,1551121200000,937,
40,304.87,305.37,304.56,304.74,122116.0,304.9258,1551124800000,2789,
41,304.74,304.74,304.74,304.74,1829.0,304.7401,1551128400000,16,
42,304.74,304.74,304.74,304.74,100.0,304.74,1551186000000,1,
43,304.77,305.05,301.61,302.14,76562.0,303.2169,1551189600000,1329,
44,301.92,302.76,300.46,300.56,215224.0,301.1472,1551193200000,3321,
45,300.4,301.76,300.31,301.06,88245.0,301.235,1551196800000,1506,
46,301.15,302.22,300.4062,301.81,76675.0,301.3369,1551200400000,1319,
47,301.82,302.36,301.08,301.48,62430.0,301.8885,1551204000000,1150,
48,301.59,302.2,300.64,301.095,96648.0,301.4087,1551207600000,1783,
49,301.22,302.865,300.93,301.21,191569.0,301.6343,1551211200000,3575,
50,301.21,301.21,301.21,301.21,48216.0,301.21,1551214800000,9,
51,306.16,306.17,306.16,306.17,300.0,306.1667,1551268800000,4,
52,300.0001,309.58,300.0001,300.8001,1193.0,302.2626,1551272400000,6,
53,302.0,302.2,299.501,302.2,65489.0,300.8545,1551276000000,881,
54,302.0487,303.5963,301.215,303.36,86698.0,302.245,1551279600000,1744,
55,303.35,305.78,303.35,305.17,92457.0,304.9349,1551283200000,1574,
56,305.1744,307.0,305.1744,306.72,63087.0,306.1017,1551286800000,1425,
57,306.67,308.36,306.67,307.695,85714.0,307.5807,1551290400000,1615,
58,307.747,308.63,307.22,308.63,68241.0,307.8129,1551294000000,1322,
59,308.6687,309.37,308.33,309.16,171044.0,308.9239,1551297600000,2988,
60,309.16,309.16,309.16,309.16,4936.0,309.1598,1551301200000,18,
61,309.31,311.0,308.46,308.87,79897.0,309.5293,1551362400000,1220,
62,308.67,310.253,308.37,310.115,104934.0,309.3893,1551366000000,2042,
63,310.01,313.47,309.98,312.75,216609.0,312.0383,1551369600000,3403,
64,312.805,314.68,312.46,314.39,127673.0,313.8217,1551373200000,2280,
65,314.44,314.44,312.18,313.41,136582.0,312.9567,1551376800000,1658,
66,313.4,313.75,312.1,313.7,189079.0,312.9191,1551380400000,2171,
67,313.54,313.77,312.22,312.87,305647.0,313.0298,1551384000000,4850,
68,312.77,312.77,312.77,312.77,36636.0,312.7699,1551387600000,45,
69,312.77,312.77,312.77,312.77,339.0,312.77,1551391200000,1,
70,313.93,317.83,313.57,316.72,77443.0,315.6391,1551448800000,1192,
71,316.66,319.29,315.98,318.86,190527.0,317.8766,1551452400000,3104,
72,319.0,319.71,318.27,318.58,150570.0,318.9297,1551456000000,2151,
73,318.51,321.22,318.5,320.28,105826.0,319.9792,1551459600000,2176,
74,320.11,321.16,319.92,320.37,68063.0,320.5486,1551463200000,1435,
75,320.41,322.32,320.29,321.975,100957.0,321.37,1551466800000,2063,
76,322.01,322.18,320.69,321.19,281834.0,321.572,1551470400000,4734,
77,321.18,321.18,321.18,321.18,25838.0,321.18,1551474000000,32,
78,323.0,323.8354,323.0,323.8354,300.0,323.2785,1551704400000,2,
79,323.0,323.0,318.13,319.06,163241.0,319.824,1551708000000,1436,
80,319.035,319.035,313.73,314.41,181164.0,316.0014,1551711600000,3238,
81,314.31,314.37,306.83,307.42,162589.0,310.383,1551715200000,3024,
82,307.275,308.0475,304.0,305.3,162133.0,305.6551,1551718800000,3394,
83,305.24,308.77,304.18,308.3,125557.0,306.5841,1551722400000,2644,
84,308.19,308.4,306.4543,307.28,86254.0,307.3667,1551726000000,2032,
85,307.25,308.09,306.37,307.79,242328.0,307.3516,1551729600000,4472,
86,307.7,307.84,307.55,307.55,21846.0,307.7,1551733200000,30,
87,308.46,308.46,308.46,308.46,2000.0,308.46,1551790800000,1,
88,308.52,308.91,305.01,306.15,72712.0,306.6039,1551794400000,1213,
