,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,97.14,99.6667,97.14,99.5933,212983.5,98.6554,1550581200000,2143,
1,99.5067,100.16,99.2067,99.6667,471300.0,99.8115,1550595600000,4803,
2,99.6867,99.8,99.6867,99.6867,106626.0,99.6825,1550610000000,24,
3,100.0133,101.44,99.4867,101.3167,244423.5,100.6365,1550667600000,1708,
4,101.3167,101.9467,100.8933,101.7067,344475.0,101.4902,1550682000000,3658,
5,101.6667,101.6667,101.6667,101.6667,52726.5,101.6667,1550696400000,16,
6,101.44,101.8333,100.4133,101.36,250056.0,101.0466,1550754000000,1709,
7,101.3433,102.0,100.86,101.28,870103.5,101.4104,1550768400000,5721,
8,101.3333,101.3333,101.3333,101.3333,36303.0,101.3333,1550782800000,13,
9,101.6,101.6933,100.1467,100.7267,352128.0,100.7252,1550840400000,1940,
10,100.73,101.46,100.5,101.1933,464002.5,101.1563,1550854800000,4263,
11,101.24,101.24,101.24,101.24,5551.5,101.24,1550869200000,13,
12,101.6,101.9533,101.0,101.8933,244354.5,101.3723,1551099600000,1539,
13,101.9467,101.9467,101.08,101.3,429510.0,101.3393,1551114000000,4352,
14,101.3133,101.3133,101.3133,101.3133,70560.0,101.3133,1551128400000,10,
15,99.3333,99.3333,99.3333,99.3333,150.0,99.3333,1551171600000,1,
16,100.9667,101.2867,100.35,100.7133,194841.0,100.7119,1551186000000,1526,
17,100.6733,101.0533,100.42,100.6667,382180.5,100.6627,1551200400000,3402,
18,100.6667,100.6667,100.6667,100.6667,8052.0,100.6667,1551214800000,12,
19,100.3133,101.0612,99.9533,100.8133,215488.5,100.6169,1551272400000,1853,
20,100.78,100.86,100.1467,100.3067,639324.0,100.5569,1551286800000,4733,
21,100.3067,100.3067,100.3067,100.3067,2469.0,100.3066,1551301200000,13,
22,100.3133,100.38,99.2267,100.0217,204349.5,99.7347,1551358800000,1847,
23,100.02,100.5733,99.92,100.5133,338770.5,100.2148,1551373200000,3757,
24,100.5133,100.5133,100.5133,100.5133,22303.5,100.5131,1551387600000,26,
25,101.1267,101.88,100.3646,101.2333,308646.0,101.4142,1551445200000,2485,
26,101.2133,102.6133,101.02,101.7533,546297.0,101.8213,1551459600000,5108,
27,101.74,101.74,101.74,101.74,8266.5,101.7399,1551474000000,17,
28,102.2267,102.2514,98.58,98.7933,270657.0,100.7386,1551704400000,2661,
29,98.7,100.14,98.5867,99.0867,442270.5,99.3533,1551718800000,5221,
30,99.0867,99.34,98.0933,99.0867,8602.5,99.0738,1551733200000,10,
31,98.7933,99.5067,97.1567,97.92,207766.5,97.6796,1551790800000,1889,
32,97.86,98.0933,97.2067,97.2067,248055.0,97.6429,1551805200000,2993,
33,97.2533,97.2533,97.2533,97.2533,7852.5,97.2533,1551819600000,16,
34,96.98,97.6,96.8067,97.1733,96145.5,97.1997,1551877200000,972,
35,97.0733,97.3067,96.11,96.2267,359473.5,96.5804,1551891600000,3577,
36,96.28,96.28,96.28,96.28,6838.5,96.2801,1551906000000,8,
37,95.8533,96.2267,94.2933,94.2933,227883.0,95.0269,1551963600000,2401,
38,94.3267,94.5333,93.3867,93.84,547941.0,93.8484,1551978000000,4505,
39,93.9133,93.9133,93.9133,93.9133,5149.5,93.9133,1551992400000,7,
40,93.3333,94.2333,92.4267,93.5,204109.5,93.534,1552050000000,2125,
41,93.4867,95.2333,93.4733,95.2333,458346.0,94.456,1552064400000,4875,
42,95.14,95.1467,95.14,95.14,54559.5,95.14,1552078800000,22,
43,94.6133,97.8667,94.6133,97.8567,385765.5,96.4497,1552309200000,3638,
44,97.86,97.9733,97.08,97.5267,272833.5,97.5146,1552323600000,3162,
45,97.7333,98.27,96.39,96.96,179680.5,97.1019,1552395600000,1945,
46,97.0067,98.2667,96.9467,97.5733,357831.0,97.7651,1552410000000,3731,
47,98.0,100.5267,98.0,99.61,342087.0,99.6348,1552482000000,2766,
48,99.61,99.8733,98.86,99.0667,322041.0,99.2956,1552496400000,3651,
49,99.0667,99.0667,99.0667,99.0667,2694.0,99.0667,1552510800000,1,
50,98.8333,99.3867,98.5133,99.3267,250639.5,98.9543,1552568400000,2140,
51,99.3167,99.44,98.3933,98.4667,329379.0,98.836,1552582800000,3684,
52,98.72,99.3667,98.0633,98.7233,339658.5,98.6932,1552654800000,1789,
53,98.78,98.88,97.6667,98.0733,420370.5,97.991,1552669200000,3353,
54,97.96,99.24,97.96,98.86,289767.0,98.7754,1552914000000,2451,
55,98.9333,99.5333,98.8633,99.5333,216993.0,99.2638,1552928400000,2421,
56,99.3333,99.9533,96.7167,97.2767,241474.5,97.8777,1553000400000,2107,
57,97.4033,97.4033,95.8533,96.0333,284310.0,96.3402,1553014800000,2773,
58,95.7533,96.34,94.4167,94.9733,288873.0,95.1237,1553086800000,2299,
59,95.0133,96.8067,94.8167,95.2533,241590.0,95.666,1553101200000,2713,
60,94.9067,97.5867,94.202,96.26,160341.0,96.6676,1553173200000,1573,
61,96.2567,97.36,96.2567,97.2133,226903.5,97.0429,1553187600000,2556,
62,97.2133,97.2133,97.2133,97.2133,1837.5,97.2133,1553202000000,1,
63,96.46,96.9333,94.9867,95.3667,260655.0,96.1101,1553259600000,1942,
64,95.4067,96.22,95.1067,95.1467,387049.5,95.6155,1553274000000,3459,
65,95.1533,96.56,94.7067,95.5667,212664.0,95.5555,1553518800000,1955,
66,95.5833,95.7733,94.6933,94.7933,338470.5,95.0685,1553533200000,3566,
67,95.6267,96.1533,95.1067,95.2467,189706.5,95.4919,1553605200000,2008,
68,95.28,96.5733,94.9667,96.2933,270075.0,95.926,1553619600000,2829,
69,96.1667,97.3333,95.5334,95.9667,171210.0,96.2257,1553691600000,1795,
70,95.9333,96.5333,95.72,95.9267,262545.0,96.0363,1553706000000,2947,
71,96.1733,97.3267,95.47,96.6367,296629.5,96.4904,1553778000000,3096,
72,96.6367,97.1133,96.4067,96.9933,253098.0,96.7953,1553792400000,3002,
73,97.3333,97.3333,97.3333,97.3333,1200.0,97.3333,1553850000000,5,
74,97.4,97.8,96.2933,96.71,237268.5,96.8624,1553864400000,2342,
75,96.7533,96.9933,96.0267,96.26,306214.5,96.4067,1553878800000,3211,
76,97.4667,99.82,97.0066,99.1933,284376.0,98.8043,1554123600000,2640,
77,99.1967,99.7133,98.8467,99.5133,292359.0,99.339,1554138000000,3476,
78,99.4,99.9667,98.29,99.3133,308122.5,99.4826,1554210000000,2721,
79,99.2333,99.5533,98.7133,99.06,270967.5,99.0587,1554224400000,2678,
80,99.5667,101.92,99.2233,100.5933,432865.5,100.936,1554296400000,2360,
81,100.5867,100.7067,99.4333,99.96,308391.0,99.8818,1554310800000,3154,
82,100.16,101.9333,100.06,101.1167,260949.0,101.211,1554382800000,2054,
83,101.1233,101.4667,100.7267,101.4067,342703.5,101.1769,1554397200000,3136,
84,101.42,102.6667,101.42,102.0867,231534.0,102.2036,1554469200000,1971,
85,102.08,102.26,100.88,101.1667,350818.5,101.4368,1554483600000,3557,
86,100.8667,101.5133,100.0,101.4067,109614.0,101.0864,1554728400000,971,
87,101.1964,101.8133,101.08,101.7933,143065.5,101.5277,1554742800000,1881,
88,101.5467,101.5467,100.6667,101.4367,181900.5,101.0041,1554814800000,1639,
89,101.4867,101.51,100.24,100.4333,180736.5,100.6869,1554829200000,2445,
90,100.72,100.9533,99.6933,100.56,194902.5,100.2215,1554901200000,2046,
91,100.58,100.7667,100.06,100.2067,270357.0,100.3796,1554915600000,3340,
92,100.2067,100.2067,100.2067,100.2067,669.0,100.2067,1554973200000,1,
93,100.4667,102.6467,100.4667,101.7833,259849.5,101.5225,1554987600000,2406,
94,101.7833,102.4933,101.6967,102.1933,332965.5,102.1894,1555002000000,2907,
95,102.6,103.6,101.8867,102.96,216393.0,102.6998,1555074000000,1765,
96,102.9067,102.96,102.3133,102.5,293959.5,102.5931,1555088400000,2640,
97,102.7467,103.4533,102.28,102.3067,306367.5,102.8866,1555333200000,2517,
